user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
TheresaTekenah,"the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:17:28+00:00,441,,,,Abuja,#BAT2023,False,abuja,tinubu_apc,"the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
powerfuldanb,"rt @muvvido: tinubu lands in benin city ahead of tomorrow presidential campaign rally in edo state.

#apc2023 #bat2023 #batksm2023 https://…",2023-01-05 14:13:56+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user tinubu lands in benin city ahead of tomorrow presidential campaign rally in edo state.

#apc2023 #bat2023 #batksm2023 http"
adoskol_w,"rt @asiwaju_wa: the incoming president of nigeria, asiwaju bola ahmed tinubu arrives at the rally ground in benin, edo state.

#renewedhope…",2023-01-05 14:12:59+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the incoming president of nigeria, asiwaju bola ahmed tinubu arrives at the rally ground in benin, edo state.

#renewedhope…"
tajudine2013gm2,"rt @asiwaju_wa: i love osho baba vibe ehn 🤣🤣, tinubu lo kan.

#renewedhope2023 #bat2023 #tinubuinedo https://t.co/yhldllohpn",2023-01-05 14:09:26+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user i love osho baba vibe ehn 🤣🤣, tinubu lo kan.

#renewedhope2023 #bat2023 #tinubuinedo http"
ismailawasiu10,rt @iu_wakilii: tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…,2023-01-05 14:07:51+00:00,0,,,,"Lekki, Nigeria",#BAT2023,True,unknown,tinubu_apc,rt @user tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…
ebony_al,"rt @mr_jags: k a n o today ♾️ 

@officialabat 🤝 @kashimsm 

e soak !!!!

#bat2023 

#batksm 

#batksm2023 https://t.co/oylgwattak",2023-01-05 14:01:48+00:00,0,,,,,#BAT2023,False,unknown,,"rt @user k a n o today ♾️ 

@officialabat 🤝 @user 

e soak !!!!

#bat2023 

#batksm 

#batksm2023 http"
magnanimous4u22,rt @iu_wakilii: tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…,2023-01-05 13:50:13+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,rt @user tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…
AOgunpitan,"rt @mr_jags: kano 🔥🔥🔥🔥🔥🔥

#bat2023 https://t.co/tvyyfemgdj",2023-01-05 13:47:34+00:00,0,,,,,#BAT2023,False,unknown,,"rt @user kano 🔥🔥🔥🔥🔥🔥

#bat2023 http"
olasmart2,"even you i stand to be nigeria president people we say bad thing about me: fact that no nobody knows me. 
let be wise 
vote competency
vote someone that will deliver
b4 dey sell everything finish
oti lo 👁️
#obidients2023
#bat2023
#atiku2023
#sowore2023",2023-01-05 13:42:06+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,obi_labour,"even you i stand to be nigeria president people we say bad thing about me: fact that no nobody knows me. 
let be wise 
vote competency
vote someone that will deliver
b4 dey sell everything finish
oti lo 👁️
#obidients2023
#bat2023
#atiku2023
#sowore2023"
yisa_raheem,"rt @asiwaju_wa: i love osho baba vibe ehn 🤣🤣, tinubu lo kan.

#renewedhope2023 #bat2023 #tinubuinedo https://t.co/yhldllohpn",2023-01-05 13:41:01+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user i love osho baba vibe ehn 🤣🤣, tinubu lo kan.

#renewedhope2023 #bat2023 #tinubuinedo http"
