user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
BarnabasIsima,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:40:16+00:00,0,,,,Agbor Delta State Nigeria ,#RecoverNigeria,True,delta,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
Whiz_Rahman,"49 days left to  #recovernigeria.

atiku is the answer! https://t.co/gkxownsaud",2023-01-06 07:40:09+00:00,9,,,,Nigeria ,#RecoverNigeria,True,unknown,atiku_pdp,"49 days left to  #recovernigeria.

atiku is the answer! http"
Jessicaphilip2,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:39:52+00:00,0,,,,"Federal Capital Territory, Nig",#RecoverNigeria,False,abuja,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
kingariexz,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 07:39:33+00:00,0,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
Whiz_Rahman,rt @amuludunomoowo: a month and days left to our country with pdp. #recovernigeria https://t.co/piqsdfzfu4,2023-01-06 07:39:00+00:00,0,,,,Nigeria ,#RecoverNigeria,True,unknown,atiku_pdp,rt @user a month and days left to our country with pdp. #recovernigeria http
laurentdarl,"@yinkajones2 doings pass doings naw. 

#recovernigeria",2023-01-06 07:38:23+00:00,0,,,,"Asaba, lagos, Nigeria.",#RecoverNigeria,True,unknown,,"@user doings pass doings naw. 

#recovernigeria"
SimplyTEEWHY,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:37:35+00:00,0,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
Onile050,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:36:31+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
DokunOjomo,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:36:05+00:00,0,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
edema_isadore,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:35:26+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
theolisa_,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:35:14+00:00,0,,,,Asaba |Abuja | Lagos | Toronto,#RecoverNigeria,False,lagos,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
Vawulencej,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 07:34:52+00:00,0,,,,"California, USA in jesus name ",#RecoverNigeria,False,unknown,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
Thelionofekiti,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:34:39+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
Phabpresh,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:34:32+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
YinkaJones2,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:34:25+00:00,0,,,,Abuja,#RecoverNigeria,False,abuja,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
ezek_o,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:34:22+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
